City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
2,Busselton,AU,75.04,clear sky,-33.65,115.3333,Observatory Guest House
12,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
15,Rikitea,PF,78.24,overcast clouds,-23.1203,-134.9692,People ThankYou
18,Hilo,US,75.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
19,Grand Gaube,MU,82.8,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
20,Avarua,CK,78.85,haze,-21.2078,-159.775,Paradise Inn
21,Saint-Leu,RE,81.43,few clouds,-21.15,55.2833,La Caz Oceane
27,Atar,MR,81.09,overcast clouds,20.5169,-13.0499,Oumou Elghoura
38,Sola,VU,83.21,scattered clouds,-13.8833,167.55,Leumerus Bungalows
43,Hithadhoo,MV,81.09,overcast clouds,-0.6,73.0833,Scoop Guest House
58,Cassilandia,BR,89.29,clear sky,-19.1133,-51.7342,Delirius Motel
59,Kudahuvadhoo,MV,80.58,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
64,Cidreira,BR,80.6,clear sky,-30.1811,-50.2056,Hotel Castelo
65,Atuona,PF,78.69,few clouds,-9.8,-139.0333,Villa Enata
68,Takoradi,GH,80.64,clear sky,4.8845,-1.7554,Raybow International Hotel
77,Arraial Do Cabo,BR,80.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
78,Vaini,TO,80.74,overcast clouds,-21.2,-175.2,Keleti Beach Resort
79,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
80,Luderitz,NA,77.52,broken clouds,-26.6481,15.1594,Lüderitz Nest Hotel
87,Bengkulu,ID,75.18,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
88,Sao Gabriel Da Cachoeira,BR,86.72,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
89,Diamantino,BR,81.57,overcast clouds,-14.4086,-56.4461,Hotel Delta
95,Port Elizabeth,ZA,77.09,scattered clouds,-33.918,25.5701,39 On Nile Guest House
97,Certegui,CO,81.86,overcast clouds,5.3707,-76.6044,Juosma yesisd
107,Castro,BR,78.67,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
111,Port Alfred,ZA,75.58,scattered clouds,-33.5906,26.891,The Halyards Hotel
115,Caibarien,CU,87.12,clear sky,22.5206,-79.4669,La Nena
116,Saint-Philippe,RE,81.95,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
118,Fare,PF,81.23,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
120,Angoche,MZ,76.23,light rain,-16.2325,39.9086,Guest House HESADA
121,Maceio,BR,89.04,few clouds,-9.6658,-35.7353,Poutur Pousada
123,Omboue,GA,77.74,broken clouds,-1.5746,9.2618,Hotel Olako
130,Soure,BR,81.21,overcast clouds,-0.7167,-48.5233,Casarão da Amazônia
133,East London,ZA,76.5,clear sky,-33.0153,27.9116,Tu Casa
138,Sinnamary,GF,79.02,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
139,Cabo San Lucas,MX,80.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
141,Ballitoville,ZA,77.25,few clouds,-29.539,31.2144,Hampshire Hotel-Ballito
143,Nueve De Julio,AR,85.62,heavy intensity rain,-35.4444,-60.8831,Grand Hotel Libertad - GHL
144,Cap Malheureux,MU,82.89,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
150,Mahanoro,MG,75.04,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
156,Hualmay,PE,76.19,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
157,Miramar,US,83.01,few clouds,25.9873,-80.2323,Casa Miramar
160,Pimentel,PE,80.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
165,Caravelas,BR,82.49,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
167,Puerto Madryn,AR,79.7,clear sky,-42.7692,-65.0385,Hotel Tolosa
170,Torit,SS,82.76,overcast clouds,4.4133,32.5678,Diplomat Guest House
174,Rio Cuarto,AR,78.57,thunderstorm with light rain,-33.1307,-64.3499,Grand Hotel Río Cuarto
175,Alofi,NU,80.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
177,Puerto Ayora,EC,84.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
178,Butaritari,KI,81.27,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
192,Cairns,AU,78.75,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
195,Vaitape,PF,79.97,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
196,Kavieng,PG,82.47,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
206,Manokwari,ID,78.64,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
211,Rawson,AR,78.75,clear sky,-43.3002,-65.1023,Hosteria Sampedro
213,Chuy,UY,87.51,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
214,Yambio,SS,75.25,few clouds,4.5721,28.3955,Naivasha Hotel
216,Saint-Georges,GD,80.2,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
219,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
223,Pio Xii,BR,85.96,broken clouds,-3.8325,-45.1525,BACURI DOS QUARESMAS
245,Port Keats,AU,78.96,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
249,Inirida,CO,82.44,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
251,Luquillo,PR,83.8,few clouds,18.3725,-65.7166,Yunque Mar Beach Hotel
254,Sao Joao Da Barra,BR,86.09,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
258,Monrovia,LR,80.33,clear sky,6.3005,-10.7969,Sunset Inn
261,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
263,Poso,ID,75.74,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
265,Faanui,PF,79.93,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
269,Porto Novo,BJ,79.27,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
271,Isangel,VU,79.25,clear sky,-19.55,169.2667,Tanna Lodge
273,Ilhabela,BR,81.79,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
280,Souillac,MU,82.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
282,Bandarbeyla,SO,76.41,overcast clouds,9.4942,50.8122,JABIR HOTEL
283,Kahului,US,78.06,few clouds,20.8947,-156.47,Maui Seaside Hotel
285,Tamandare,BR,83.55,clear sky,-8.7597,-35.1047,Pousada 100 Passos
