City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Georgetown,MY,5.4112,100.3354,81.9,82,20,1.01,few clouds
1,Cherskiy,RU,68.75,161.3,-48.86,100,76,4.0,broken clouds
2,Busselton,AU,-33.65,115.3333,75.04,43,5,8.37,clear sky
3,Wasilla,US,61.5814,-149.4394,33.73,74,100,8.01,overcast clouds
4,Timra,SE,62.487,17.3257,21.67,60,5,11.5,clear sky
5,Saldanha,ZA,-33.0117,17.9442,66.67,84,0,11.23,clear sky
6,Albany,US,42.6001,-73.9662,19.62,50,8,1.01,clear sky
7,Bluff,NZ,-46.6,168.3333,55.8,76,100,18.19,overcast clouds
8,Micheweni,TZ,-4.9667,39.8333,82.04,79,100,15.01,overcast clouds
9,Yellowknife,CA,62.456,-114.3525,-19.71,67,15,5.01,few clouds
10,Qui Nhon,VN,13.7667,109.2333,68.79,90,5,5.66,clear sky
11,Khatanga,RU,71.9667,102.5,16.74,93,100,18.05,light snow
12,Mahebourg,MU,-20.4081,57.7,82.69,89,40,18.41,scattered clouds
13,New Norfolk,AU,-42.7826,147.0587,56.91,69,0,2.51,clear sky
14,Kapaa,US,22.0752,-159.319,73.38,91,0,5.75,clear sky
15,Rikitea,PF,-23.1203,-134.9692,78.24,74,100,8.46,overcast clouds
16,Bronzani Majdan,BA,44.7869,16.9311,27.18,87,95,3.89,overcast clouds
17,Kurya,RU,51.6003,82.2888,-10.89,100,99,3.2,overcast clouds
18,Hilo,US,19.7297,-155.09,75.61,77,75,0.0,broken clouds
19,Grand Gaube,MU,-20.0064,57.6608,82.8,86,22,8.99,few clouds
20,Avarua,CK,-21.2078,-159.775,78.85,94,100,18.41,haze
21,Saint-Leu,RE,-21.15,55.2833,81.43,84,11,2.68,few clouds
22,Jamestown,US,42.097,-79.2353,20.3,10,6,4.74,clear sky
23,Mataura,NZ,-46.1927,168.8643,55.47,90,85,4.0,overcast clouds
24,Hobart,AU,-42.8794,147.3294,57.27,90,20,2.3,fog
25,Bredasdorp,ZA,-34.5322,20.0403,71.28,89,41,16.24,scattered clouds
26,Tiksi,RU,71.6872,128.8694,-5.03,87,100,10.04,overcast clouds
27,Atar,MR,20.5169,-13.0499,81.09,16,100,9.82,overcast clouds
28,Udachnyy,RU,66.4167,112.4,-13.29,99,100,4.85,overcast clouds
29,Aklavik,CA,68.2191,-135.0107,-27.26,92,13,10.63,few clouds
30,Tezu,IN,27.9167,96.1667,55.22,64,76,3.44,broken clouds
31,Ushuaia,AR,-54.8,-68.3,57.96,86,100,5.77,light rain
32,Tuktoyaktuk,CA,69.4541,-133.0374,-29.2,75,20,3.44,few clouds
33,Havre-Saint-Pierre,CA,50.2334,-63.5986,7.2,72,36,13.51,scattered clouds
34,Matagami,CA,49.7502,-77.6328,8.04,85,11,10.76,few clouds
35,Anadyr,RU,64.75,177.4833,-31.0,73,50,5.99,scattered clouds
36,Barrow,US,71.2906,-156.7887,-20.18,69,100,14.97,haze
37,Kaitangata,NZ,-46.2817,169.8464,58.93,65,19,6.89,few clouds
38,Sola,VU,-13.8833,167.55,83.21,76,44,17.56,scattered clouds
39,Tahoua,NE,14.8888,5.2692,65.08,10,0,10.92,clear sky
40,Nosy Varika,MG,-20.5833,48.5333,74.91,90,86,5.88,light rain
41,Dingle,PH,10.9995,122.6711,73.44,91,50,6.89,scattered clouds
42,Dawson Creek,CA,55.7666,-120.2362,22.3,86,20,3.44,few clouds
43,Hithadhoo,MV,-0.6,73.0833,81.09,74,88,13.31,overcast clouds
44,Tasiilaq,GL,65.6145,-37.6368,23.16,71,98,7.36,overcast clouds
45,Pevek,RU,69.7008,170.3133,-35.59,99,42,4.76,scattered clouds
46,Victoria,HK,22.2855,114.1577,66.94,90,100,1.99,overcast clouds
47,San Quintin,MX,30.4833,-115.95,65.19,44,0,7.14,clear sky
48,Tadine,NC,-21.55,167.8833,78.6,89,100,10.92,overcast clouds
49,Constitucion,CL,-35.3333,-72.4167,67.01,52,0,11.88,clear sky
50,Hermanus,ZA,-34.4187,19.2345,71.8,77,0,18.14,clear sky
51,Emba,KZ,48.8264,58.1442,4.82,88,100,4.23,overcast clouds
52,Berlevag,NO,70.8578,29.0864,23.0,63,100,8.97,overcast clouds
53,Ranfurly,NZ,-45.1333,170.1,51.06,87,1,1.52,clear sky
54,Sistranda,NO,63.7256,8.834,35.91,95,100,19.13,overcast clouds
55,Guisa,CU,20.255,-76.5386,84.51,34,0,7.0,clear sky
56,Masallatah,LY,32.6167,14.0,52.45,59,73,7.52,broken clouds
57,Maniwaki,CA,46.3834,-75.966,3.97,79,52,2.53,broken clouds
58,Cassilandia,BR,-19.1133,-51.7342,89.29,40,0,3.36,clear sky
59,Kudahuvadhoo,MV,2.6708,72.8944,80.58,75,80,8.55,broken clouds
60,Yeppoon,AU,-23.1333,150.7333,67.78,64,98,20.65,overcast clouds
61,Fort Nelson,CA,58.8053,-122.7002,0.23,96,100,4.85,snow
62,Upernavik,GL,72.7868,-56.1549,-2.7,94,100,2.37,overcast clouds
63,Flinders,AU,-34.5833,150.8552,64.8,87,100,4.0,overcast clouds
64,Cidreira,BR,-30.1811,-50.2056,80.6,80,0,17.18,clear sky
65,Atuona,PF,-9.8,-139.0333,78.69,76,18,23.73,few clouds
66,Sandwick,GB,60.0,-1.25,46.22,93,75,24.16,light intensity drizzle
67,Marsa Matruh,EG,31.3525,27.2453,54.0,49,7,8.61,clear sky
68,Takoradi,GH,4.8845,-1.7554,80.64,71,10,7.14,clear sky
69,San Patricio,US,28.017,-97.5169,48.16,39,95,11.65,overcast clouds
70,Karcsa,HU,48.3113,21.8054,28.06,66,59,4.0,broken clouds
71,Lebu,CL,-37.6167,-73.65,62.8,62,0,8.93,clear sky
72,Ribeira Grande,PT,38.5167,-28.7,63.0,72,20,19.57,few clouds
73,Saint-Francois,FR,46.4154,3.9054,33.67,73,0,6.91,clear sky
74,Cape Town,ZA,-33.9258,18.4232,74.1,64,0,10.65,clear sky
75,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,85,20,4.61,few clouds
76,Punta Arenas,CL,-53.15,-70.9167,65.16,49,5,9.69,clear sky
77,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,78,0,18.41,clear sky
78,Vaini,TO,-21.2,-175.2,80.74,70,97,16.11,overcast clouds
79,Carnarvon,AU,-24.8667,113.6333,80.67,57,49,10.36,scattered clouds
80,Luderitz,NA,-26.6481,15.1594,77.52,63,63,7.02,broken clouds
81,Kruisfontein,ZA,-34.0033,24.7314,74.88,93,3,4.12,clear sky
82,Bongandanga,CD,1.5,21.05,76.71,39,8,1.99,clear sky
83,Ancud,CL,-41.8697,-73.8203,62.42,73,98,15.41,overcast clouds
84,Pahrump,US,36.2083,-115.9839,55.94,33,0,13.0,clear sky
85,Kachiry,KZ,53.0675,76.1036,-1.1,97,100,4.43,overcast clouds
86,Mindelo,CV,16.8901,-24.9804,70.84,77,99,15.93,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,75.18,89,100,5.19,moderate rain
88,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,86.72,72,72,1.63,moderate rain
89,Diamantino,BR,-14.4086,-56.4461,81.57,71,100,1.95,overcast clouds
90,Hasaki,JP,35.7333,140.8333,21.6,45,0,7.96,clear sky
91,Shubarshi,KZ,48.5872,57.1869,-0.11,94,35,3.06,scattered clouds
92,Beringovskiy,RU,63.05,179.3167,-13.83,77,1,16.96,clear sky
93,Batticaloa,LK,7.7102,81.6924,73.15,70,97,3.94,overcast clouds
